"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ce_0.01","aBIC_ce_0.025","aBIC_ce_0.05","aBIC_ce_0.1","aBIC_ce_0.5","aBIC_ce_0.9","aBIC_ce_0.95","aBIC_ce_0.975","aBIC_ce_0.99","aBIC_ce_NA","AIC_ce_0.01","AIC_ce_0.025","AIC_ce_0.05","AIC_ce_0.1","AIC_ce_0.5","AIC_ce_0.9","AIC_ce_0.95","AIC_ce_0.975","AIC_ce_0.99","AIC_ce_NA","BIC_ce_0.01","BIC_ce_0.025","BIC_ce_0.05","BIC_ce_0.1","BIC_ce_0.5","BIC_ce_0.9","BIC_ce_0.95","BIC_ce_0.975","BIC_ce_0.99","BIC_ce_NA","CFI_ce_0.01","CFI_ce_0.025","CFI_ce_0.05","CFI_ce_0.1","CFI_ce_0.5","CFI_ce_0.9","CFI_ce_0.95","CFI_ce_0.975","CFI_ce_0.99","CFI_ce_NA","ChiSqBaseline_DF_ce_0.01","ChiSqBaseline_DF_ce_0.025","ChiSqBaseline_DF_ce_0.05","ChiSqBaseline_DF_ce_0.1","ChiSqBaseline_DF_ce_0.5","ChiSqBaseline_DF_ce_0.9","ChiSqBaseline_DF_ce_0.95","ChiSqBaseline_DF_ce_0.975","ChiSqBaseline_DF_ce_0.99","ChiSqBaseline_DF_ce_NA","ChiSqBaseline_PValue_ce_0.01","ChiSqBaseline_PValue_ce_0.025","ChiSqBaseline_PValue_ce_0.05","ChiSqBaseline_PValue_ce_0.1","ChiSqBaseline_PValue_ce_0.5","ChiSqBaseline_PValue_ce_0.9","ChiSqBaseline_PValue_ce_0.95","ChiSqBaseline_PValue_ce_0.975","ChiSqBaseline_PValue_ce_0.99","ChiSqBaseline_PValue_ce_NA","ChiSqBaseline_Value_ce_0.01","ChiSqBaseline_Value_ce_0.025","ChiSqBaseline_Value_ce_0.05","ChiSqBaseline_Value_ce_0.1","ChiSqBaseline_Value_ce_0.5","ChiSqBaseline_Value_ce_0.9","ChiSqBaseline_Value_ce_0.95","ChiSqBaseline_Value_ce_0.975","ChiSqBaseline_Value_ce_0.99","ChiSqBaseline_Value_ce_NA","ChiSqM_DF_ce_0.01","ChiSqM_DF_ce_0.025","ChiSqM_DF_ce_0.05","ChiSqM_DF_ce_0.1","ChiSqM_DF_ce_0.5","ChiSqM_DF_ce_0.9","ChiSqM_DF_ce_0.95","ChiSqM_DF_ce_0.975","ChiSqM_DF_ce_0.99","ChiSqM_DF_ce_NA","ChiSqM_PValue_ce_0.01","ChiSqM_PValue_ce_0.025","ChiSqM_PValue_ce_0.05","ChiSqM_PValue_ce_0.1","ChiSqM_PValue_ce_0.5","ChiSqM_PValue_ce_0.9","ChiSqM_PValue_ce_0.95","ChiSqM_PValue_ce_0.975","ChiSqM_PValue_ce_0.99","ChiSqM_PValue_ce_NA","ChiSqM_Value_ce_0.01","ChiSqM_Value_ce_0.025","ChiSqM_Value_ce_0.05","ChiSqM_Value_ce_0.1","ChiSqM_Value_ce_0.5","ChiSqM_Value_ce_0.9","ChiSqM_Value_ce_0.95","ChiSqM_Value_ce_0.975","ChiSqM_Value_ce_0.99","ChiSqM_Value_ce_NA","LL_ce_0.01","LL_ce_0.025","LL_ce_0.05","LL_ce_0.1","LL_ce_0.5","LL_ce_0.9","LL_ce_0.95","LL_ce_0.975","LL_ce_0.99","LL_ce_NA","RMSEA_90CI_LB_ce_0.01","RMSEA_90CI_LB_ce_0.025","RMSEA_90CI_LB_ce_0.05","RMSEA_90CI_LB_ce_0.1","RMSEA_90CI_LB_ce_0.5","RMSEA_90CI_LB_ce_0.9","RMSEA_90CI_LB_ce_0.95","RMSEA_90CI_LB_ce_0.975","RMSEA_90CI_LB_ce_0.99","RMSEA_90CI_LB_ce_NA","RMSEA_90CI_UB_ce_0.01","RMSEA_90CI_UB_ce_0.025","RMSEA_90CI_UB_ce_0.05","RMSEA_90CI_UB_ce_0.1","RMSEA_90CI_UB_ce_0.5","RMSEA_90CI_UB_ce_0.9","RMSEA_90CI_UB_ce_0.95","RMSEA_90CI_UB_ce_0.975","RMSEA_90CI_UB_ce_0.99","RMSEA_90CI_UB_ce_NA","RMSEA_Estimate_ce_0.01","RMSEA_Estimate_ce_0.025","RMSEA_Estimate_ce_0.05","RMSEA_Estimate_ce_0.1","RMSEA_Estimate_ce_0.5","RMSEA_Estimate_ce_0.9","RMSEA_Estimate_ce_0.95","RMSEA_Estimate_ce_0.975","RMSEA_Estimate_ce_0.99","RMSEA_Estimate_ce_NA","RMSEA_pLT05_ce_0.01","RMSEA_pLT05_ce_0.025","RMSEA_pLT05_ce_0.05","RMSEA_pLT05_ce_0.1","RMSEA_pLT05_ce_0.5","RMSEA_pLT05_ce_0.9","RMSEA_pLT05_ce_0.95","RMSEA_pLT05_ce_0.975","RMSEA_pLT05_ce_0.99","RMSEA_pLT05_ce_NA","SRMR_ce_0.01","SRMR_ce_0.025","SRMR_ce_0.05","SRMR_ce_0.1","SRMR_ce_0.5","SRMR_ce_0.9","SRMR_ce_0.95","SRMR_ce_0.975","SRMR_ce_0.99","SRMR_ce_NA","TLI_ce_0.01","TLI_ce_0.025","TLI_ce_0.05","TLI_ce_0.1","TLI_ce_0.5","TLI_ce_0.9","TLI_ce_0.95","TLI_ce_0.975","TLI_ce_0.99","TLI_ce_NA","UnrestrictedLL_ce_0.01","UnrestrictedLL_ce_0.025","UnrestrictedLL_ce_0.05","UnrestrictedLL_ce_0.1","UnrestrictedLL_ce_0.5","UnrestrictedLL_ce_0.9","UnrestrictedLL_ce_0.95","UnrestrictedLL_ce_0.975","UnrestrictedLL_ce_0.99","UnrestrictedLL_ce_NA"
"133","uni",27,2,2,1,250,2,2,0,6,4,"ACE",4008.61,4022.616,4037.693,4057.338,4115.747,4173.235,4190.396,4205.608,4221.14,0,4005.488,4019.494,4034.571,4054.216,4112.625,4170.113,4187.274,4202.487,4218.018,0,4018.132,4032.138,4047.215,4066.86,4125.269,4182.757,4199.918,4215.131,4230.662,0,0.838,0.852,0.864,0.877,0.919,0.954,0.962,0.969,0.976,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,298.036,308.535,317.878,329.172,368.314,411.359,422.964,434.184,446.019,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0.0013,0.0041,0.011,0.0264,0,15.854,18.179,20.766,23.642,36.598,52.146,56.987,61.356,65.284,0,-1999.744,-2006.747,-2014.286,-2024.108,-2053.313,-2082.057,-2090.637,-2098.243,-2106.009,0,0.023,0.035,0.046,0.056,0.09,0.121,0.13,0.137,0.144,0,0.118,0.126,0.134,0.142,0.173,0.203,0.211,0.218,0.224,0,0.071,0.08,0.089,0.098,0.13,0.161,0.169,0.176,0.182,0,0,0,0,0,0.001,0.032,0.065,0.117,0.194,0,0.041,0.044,0.047,0.051,0.068,0.091,0.098,0.107,0.118,0,0.954,0.958,0.961,0.965,0.977,0.987,0.989,0.991,0.993,0,-1983.129,-1990.002,-1997.327,-2005.969,-2034.603,-2063.214,-2071.388,-2077.821,-2086.007,0
"134","uni",28,0,0,2,250,2,2,0,6,4,"E",3428.546,3447.808,3462.613,3479.208,3538.444,3594.397,3609.936,3623.2,3638.543,0,3425.424,3444.687,3459.491,3476.086,3535.322,3591.275,3606.815,3620.078,3635.422,0,3438.068,3457.331,3472.135,3488.73,3547.966,3603.919,3619.458,3632.722,3648.066,0,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0.0109,0.0239,0.0472,0.0953,0.495,0.9028,0.951,0.9727,0.9903,0,0.019,0.055,0.1,0.204,1.406,4.698,6.101,7.463,9.029,0,7,7,7,7,7,7,7,7,7,0,0.0056,0.0162,0.0352,0.0761,0.4396,0.8748,0.9348,0.9691,0.9889,0,1.273,1.817,2.393,3.107,6.897,12.833,15.061,17.174,19.97,0,-1709.712,-1719.343,-1726.746,-1735.043,-1764.661,-1792.638,-1800.407,-1807.039,-1814.711,0,0,0,0,0,0,0,0.017,0.031,0.043,0,0,0,0.02,0.039,0.077,0.107,0.115,0.123,0.132,0,0,0,0,0,0,0.058,0.068,0.076,0.086,0,0.078,0.147,0.227,0.344,0.776,0.973,0.988,0.995,0.998,0,0.026,0.031,0.036,0.041,0.062,0.088,0.096,0.102,0.113,0,-0.059,-0.423,-1.774,0.328,1,1.166,1.698,3.004,6.953,0,-1705.921,-1715.646,-1722.671,-1731.185,-1760.517,-1789.218,-1797.383,-1803.374,-1811.44,0
"135","uni",29,1,0,2,250,2,2,0,6,4,"AE",3804.317,3821.279,3834.964,3854.86,3912.051,3969.111,3985.332,3997.623,4013.75,0,3801.196,3818.157,3831.843,3851.739,3908.93,3965.989,3982.21,3994.502,4010.629,0,3813.839,3830.801,3844.486,3864.382,3921.573,3978.633,3994.854,4007.146,4023.272,0,0.394,0.506,0.586,0.675,0.904,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2e-04,6e-04,0,14.526,17.324,20.07,23.258,37.505,54.462,60.107,64.232,69.76,0,7,7,7,7,7,7,7,7,7,0,3e-04,0.001,0.0032,0.0093,0.1698,0.67,0.8063,0.8929,0.9531,0,2.079,2.906,3.759,4.913,10.343,18.642,21.377,24.237,27.633,0,-1897.598,-1906.079,-1912.921,-1922.869,-1951.465,-1979.994,-1988.105,-1994.251,-2002.314,0,0,0,0,0,0,0.038,0.048,0.058,0.068,0,0,0.035,0.049,0.062,0.096,0.127,0.136,0.144,0.153,0,0,0,0,0,0.044,0.082,0.091,0.099,0.109,0,0.011,0.027,0.056,0.106,0.513,0.901,0.952,0.977,0.992,0,0.031,0.037,0.042,0.048,0.07,0.094,0.103,0.11,0.12,0,0.827,0.859,0.882,0.907,0.973,1.019,1.03,1.044,1.062,0,-1892.331,-1900.451,-1907.599,-1916.905,-1945.931,-1974.182,-1982.099,-1988.795,-1996.602,0
"136","uni",30,2,0,2,250,2,2,0,6,4,"AE",4053.072,4069.667,4081.841,4096.892,4153.769,4211.728,4229.328,4242.04,4257.957,0,4049.95,4066.546,4078.719,4093.771,4150.647,4208.607,4226.206,4238.919,4254.836,0,4062.594,4079.189,4091.363,4106.415,4163.291,4221.251,4238.85,4251.563,4267.48,0,0.622,0.669,0.704,0.743,0.871,0.967,0.989,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,51.624,57.497,61.75,67.721,89.454,113.599,121.451,128.06,136.782,0,7,7,7,7,7,7,7,7,7,0,0,0,0,1e-04,0.0112,0.2061,0.3312,0.4906,0.6506,0,5.024,6.428,7.997,9.677,18.171,29.841,33.786,37.016,40.654,0,-2021.975,-2030.273,-2036.359,-2043.885,-2072.324,-2101.303,-2110.103,-2116.459,-2124.418,0,0,0,0,0,0.035,0.074,0.084,0.091,0.099,0,0.063,0.074,0.084,0.093,0.126,0.158,0.167,0.174,0.181,0,0,0,0.024,0.039,0.08,0.114,0.124,0.131,0.139,0,0,0.001,0.002,0.006,0.118,0.561,0.692,0.809,0.893,0,0.042,0.048,0.053,0.058,0.08,0.104,0.112,0.118,0.127,0,0.892,0.906,0.915,0.927,0.963,0.991,0.997,1.002,1.007,0,-2012.397,-2020.228,-2027.318,-2034.342,-2062.877,-2091.803,-2100.475,-2106.425,-2114.459,0
"137","uni",32,1,1,2,250,2,2,0,6,4,"ACE",4023.118,4036.773,4050.059,4065.484,4124.607,4180.034,4196.625,4209.938,4225.062,0,4019.996,4033.651,4046.938,4062.363,4121.485,4176.912,4193.503,4206.817,4221.941,0,4032.64,4046.295,4059.582,4075.007,4134.129,4189.556,4206.147,4219.461,4234.584,0,0.824,0.852,0.876,0.903,0.975,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,69.367,75.096,80.664,87.073,110.466,137.005,145.058,152.207,160.693,0,7,7,7,7,7,7,7,7,7,0,4e-04,0.0015,0.0047,0.0136,0.2082,0.7064,0.8202,0.902,0.9551,0,2.081,2.803,3.636,4.618,9.664,17.648,20.434,23.253,26.561,0,-2006.998,-2013.826,-2020.469,-2028.181,-2057.743,-2085.456,-2093.752,-2100.408,-2107.97,0,0,0,0,0,0,0.033,0.045,0.055,0.065,0,0,0.033,0.047,0.059,0.093,0.124,0.133,0.141,0.15,0,0,0,0,0,0.039,0.078,0.088,0.096,0.106,0,0.015,0.035,0.07,0.132,0.564,0.916,0.957,0.98,0.992,0,0.03,0.034,0.038,0.043,0.063,0.087,0.096,0.103,0.11,0,0.95,0.958,0.965,0.972,0.993,1.006,1.009,1.011,1.014,0,-2001.523,-2008.849,-2015.163,-2023.24,-2052.424,-2080.319,-2088.474,-2095.223,-2102.62,0
"138","uni",33,2,1,2,250,2,2,0,6,4,"ACE",4202.738,4220.79,4234.397,4250.211,4309.791,4368.41,4386.538,4399.825,4417.45,0,4199.616,4217.669,4231.275,4247.089,4306.669,4365.288,4383.416,4396.704,4414.328,0,4212.26,4230.312,4243.919,4259.733,4319.313,4377.932,4396.06,4409.347,4426.972,0,0.789,0.817,0.84,0.861,0.931,0.986,0.998,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,107.256,115.251,121.771,128.41,156.647,187.013,196.638,203.381,212.944,0,7,7,7,7,7,7,7,7,7,0,0,0,0,2e-04,0.0144,0.2429,0.3923,0.5347,0.6852,0,4.781,6.043,7.355,9.132,17.511,28.481,31.987,35.419,39.275,0,-2096.808,-2105.834,-2112.638,-2120.545,-2150.335,-2179.644,-2188.708,-2195.352,-2204.164,0,0,0,0,0,0.032,0.07,0.079,0.088,0.096,0,0.06,0.071,0.08,0.09,0.124,0.155,0.163,0.171,0.179,0,0,0,0.014,0.035,0.077,0.111,0.119,0.127,0.136,0,0,0.001,0.003,0.009,0.137,0.605,0.742,0.835,0.908,0,0.037,0.042,0.046,0.052,0.071,0.095,0.103,0.112,0.121,0,0.94,0.948,0.954,0.96,0.98,0.996,0.999,1.002,1.005,0,-2087.594,-2096.462,-2103.923,-2111.376,-2140.98,-2170.393,-2179.039,-2185.933,-2194.041,0
"139","uni",35,1,2,2,250,2,2,0,6,4,"ACE",4171.496,4184.832,4198.708,4214.339,4273.428,4329.282,4345.226,4359.135,4373.072,0,4168.375,4181.71,4195.587,4211.218,4270.306,4326.16,4342.104,4356.013,4369.951,0,4181.019,4194.354,4208.231,4223.862,4282.95,4338.804,4354.748,4368.657,4382.595,0,0.899,0.914,0.927,0.942,0.986,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,131.582,139.047,146.148,154.383,184.287,216.823,225.783,234.41,244.637,0,7,7,7,7,7,7,7,7,7,0,5e-04,0.0018,0.0049,0.014,0.2116,0.7221,0.8426,0.9082,0.9563,0,2.06,2.733,3.418,4.488,9.605,17.555,20.313,22.841,25.848,0,-2081.187,-2087.855,-2094.793,-2102.609,-2132.153,-2160.08,-2168.052,-2175.007,-2181.975,0,0,0,0,0,0,0.033,0.044,0.053,0.063,0,0,0.031,0.044,0.058,0.092,0.124,0.133,0.14,0.148,0,0,0,0,0,0.039,0.078,0.087,0.095,0.104,0,0.018,0.039,0.072,0.135,0.568,0.922,0.964,0.981,0.992,0,0.027,0.03,0.034,0.039,0.058,0.085,0.092,0.103,0.114,0,0.971,0.975,0.979,0.983,0.996,1.004,1.006,1.007,1.008,0,-2075.19,-2082.841,-2089.512,-2097.559,-2126.832,-2155.139,-2162.606,-2170.194,-2176.879,0
"140","uni",36,2,2,2,250,2,2,0,6,4,"ACE",4323.426,4338.054,4351.459,4369.39,4428.3,4484.769,4501.862,4515.138,4530.855,0,4320.304,4334.932,4348.337,4366.268,4425.178,4481.647,4498.741,4512.016,4527.733,0,4332.948,4347.576,4360.981,4378.912,4437.822,4494.291,4511.385,4524.66,4540.377,0,0.852,0.87,0.885,0.903,0.954,0.991,0.999,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,161.569,170.385,177.243,186.74,219.729,255.206,265.408,274.658,286.742,0,7,7,7,7,7,7,7,7,7,0,0,0,0,2e-04,0.0182,0.2555,0.4065,0.5426,0.7019,0,4.651,5.963,7.213,8.955,16.874,28.311,31.918,35.099,38.942,0,-2157.152,-2164.466,-2171.168,-2180.134,-2209.589,-2237.824,-2246.37,-2253.008,-2260.867,0,0,0,0,0,0.029,0.07,0.079,0.087,0.096,0,0.059,0.07,0.079,0.089,0.122,0.154,0.163,0.17,0.178,0,0,0,0.011,0.033,0.075,0.11,0.119,0.127,0.135,0,0,0.001,0.003,0.009,0.157,0.619,0.752,0.839,0.914,0,0.035,0.039,0.042,0.046,0.065,0.09,0.097,0.105,0.116,0,0.958,0.963,0.967,0.972,0.987,0.997,1,1.001,1.003,0,-2148.979,-2156.321,-2162.877,-2171.095,-2200.524,-2228.925,-2236.486,-2242.918,-2251.558,0
"141","uni",37,0,0,1,500,2,2,0,6,4,"E",5538.38,5559.112,5579.169,5601.66,5685.449,5765.6,5788.234,5809.54,5829.061,0,5533.185,5553.917,5573.974,5596.465,5680.254,5760.405,5783.039,5804.345,5823.866,0,5547.909,5568.64,5588.697,5611.188,5694.978,5775.128,5797.762,5819.068,5838.589,0,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0.0085,0.0237,0.0454,0.0935,0.5047,0.9012,0.9512,0.9751,0.989,0,0.022,0.05,0.1,0.207,1.367,4.74,6.184,7.483,9.426,0,7,7,7,7,7,7,7,7,7,0,0.0054,0.0153,0.0349,0.0744,0.4305,0.868,0.9346,0.9668,0.9864,0,1.362,1.866,2.397,3.176,6.981,12.907,15.053,17.293,20.08,0,-2763.593,-2773.959,-2783.987,-2795.232,-2837.127,-2877.202,-2888.52,-2899.172,-2908.933,0,0,0,0,0,0,0,0.012,0.022,0.031,0,0,0,0.014,0.028,0.055,0.076,0.082,0.087,0.093,0,0,0,0,0,0,0.041,0.048,0.054,0.061,0,0.241,0.363,0.485,0.615,0.92,0.994,0.998,0.999,1,0,0.019,0.022,0.025,0.029,0.044,0.061,0.066,0.071,0.079,0,-0.033,-0.368,-1.451,0.339,1,1.159,1.728,2.982,6.693,0,-2759.827,-2770.46,-2780.232,-2790.954,-2833.365,-2873.739,-2885.037,-2895.078,-2905.267,0
"142","uni",38,1,0,1,500,2,2,0,6,4,"AE",6765.832,6789.525,6810.255,6834.307,6919.765,7001.581,7025.701,7046.131,7065.984,0,6760.637,6784.33,6805.06,6829.112,6914.57,6996.386,7020.506,7040.936,7060.789,0,6775.36,6799.053,6819.783,6843.835,6929.293,7011.11,7035.229,7055.659,7075.512,0,0.714,0.738,0.758,0.785,0.864,0.931,0.947,0.96,0.973,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,123.366,130.544,137.651,145.416,177.222,210.763,220.345,229.679,239.721,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,1e-04,0.0096,0.0259,0.0522,0.1121,0,11.654,13.921,15.898,18.578,30.722,45.143,49.708,55.182,60.399,0,-3377.318,-3389.165,-3399.53,-3411.556,-3454.285,-3495.193,-3507.253,-3517.468,-3527.394,0,0,0,0.016,0.026,0.054,0.077,0.083,0.09,0.096,0,0.072,0.079,0.084,0.09,0.113,0.134,0.14,0.147,0.153,0,0.036,0.044,0.05,0.058,0.082,0.104,0.11,0.117,0.124,0,0,0,0,0.001,0.032,0.305,0.439,0.553,0.69,0,0.043,0.046,0.05,0.054,0.069,0.085,0.09,0.094,0.1,0,0.918,0.925,0.931,0.938,0.961,0.98,0.985,0.989,0.992,0,-3361.831,-3373.213,-3384.637,-3396.507,-3438.216,-3478.735,-3490.822,-3499.961,-3510.577,0
"143","uni",39,2,0,1,500,2,2,0,6,4,"AE",7438.978,7461.99,7485.025,7510.454,7593.095,7677.345,7697.741,7717.894,7741.216,0,7433.783,7456.795,7479.83,7505.259,7587.899,7672.15,7692.546,7712.699,7736.021,0,7448.506,7471.518,7494.553,7519.982,7602.623,7686.874,7707.269,7727.422,7750.744,0,0.703,0.726,0.743,0.759,0.817,0.87,0.884,0.895,0.908,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,282.883,291.39,300.699,313.307,354.364,398.35,411.663,422.02,434.912,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,38.36,43.479,47.591,52.447,71.411,93.141,99.904,105.254,111.431,0,-3713.891,-3725.397,-3736.915,-3749.629,-3790.95,-3833.075,-3843.273,-3853.349,-3865.01,0,0.067,0.074,0.08,0.086,0.108,0.129,0.135,0.14,0.145,0,0.125,0.132,0.138,0.144,0.165,0.186,0.192,0.197,0.202,0,0.095,0.102,0.108,0.114,0.136,0.157,0.163,0.168,0.173,0,0,0,0,0,0,0,0,0.001,0.005,0,0.061,0.065,0.068,0.071,0.084,0.099,0.103,0.107,0.113,0,0.915,0.922,0.926,0.931,0.948,0.963,0.967,0.97,0.974,0,-3681.087,-3691.352,-3702.862,-3714.568,-3755.037,-3794.919,-3806.109,-3816.956,-3827.095,0
"144","uni",41,1,1,1,500,2,2,0,6,4,"ACE",7319.82,7341.046,7360.093,7383.146,7465.925,7549.174,7572.374,7595.446,7614.758,0,7314.625,7335.851,7354.898,7377.951,7460.73,7543.979,7567.179,7590.251,7609.563,0,7329.348,7350.574,7369.622,7392.674,7475.454,7558.702,7581.902,7604.974,7624.286,0,0.888,0.901,0.91,0.919,0.952,0.977,0.984,0.988,0.993,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,354.631,367.888,377.97,391.889,438.911,488.153,501.819,514.2,529.752,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,2e-04,0.0182,0.049,0.0951,0.1887,0,9.89,12.171,14.115,16.876,28.117,42.365,46.329,50.514,55.348,0,-3654.312,-3664.925,-3674.449,-3685.976,-3727.365,-3768.989,-3780.589,-3792.125,-3801.782,0,0,0,0.003,0.021,0.049,0.073,0.078,0.084,0.09,0,0.066,0.074,0.079,0.086,0.109,0.131,0.136,0.141,0.147,0,0.029,0.038,0.045,0.053,0.078,0.101,0.106,0.112,0.118,0,0,0,0.001,0.002,0.055,0.387,0.542,0.66,0.785,0,0.031,0.034,0.037,0.041,0.053,0.069,0.074,0.079,0.086,0,0.968,0.972,0.974,0.977,0.986,0.994,0.995,0.997,0.998,0,-3639.729,-3651.938,-3660.462,-3671.33,-3712.809,-3754.259,-3766.329,-3776.64,-3786.321,0
"145","uni",42,2,1,1,500,2,2,0,6,4,"ACE",7811.191,7833.907,7855.604,7877.068,7961.595,8041.499,8064.903,8084.977,8111.385,0,7805.996,7828.711,7850.409,7871.873,7956.399,8036.304,8059.708,8079.782,8106.19,0,7820.719,7843.435,7865.132,7886.596,7971.123,8051.027,8074.431,8094.505,8120.913,0,0.813,0.828,0.839,0.852,0.89,0.924,0.933,0.939,0.948,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,467.078,481.711,492.94,508.569,558.697,610.726,625.645,640.987,655.232,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,35.796,40.566,43.966,49.093,67.856,89.809,97.212,102.742,108.975,0,-3899.998,-3911.356,-3922.205,-3932.937,-3975.2,-4015.152,-4026.854,-4036.891,-4050.095,0,0.063,0.07,0.075,0.082,0.104,0.126,0.133,0.138,0.143,0,0.121,0.128,0.133,0.14,0.161,0.183,0.19,0.194,0.2,0,0.091,0.098,0.103,0.11,0.132,0.154,0.161,0.165,0.171,0,0,0,0,0,0,0,0.001,0.003,0.01,0,0.047,0.05,0.053,0.055,0.067,0.081,0.086,0.091,0.097,0,0.947,0.951,0.954,0.958,0.969,0.978,0.981,0.983,0.985,0,-3868.284,-3879.573,-3887.969,-3899.887,-3940.436,-3980.208,-3991.253,-4001.735,-4013.232,0
"146","uni",44,1,2,1,500,2,2,0,6,4,"ACE",7664.175,7689.306,7708.889,7732.473,7817.773,7899.081,7923.599,7943.006,7969.389,0,7658.98,7684.111,7703.693,7727.278,7812.578,7893.886,7918.404,7937.811,7964.194,0,7673.703,7698.834,7718.417,7742.001,7827.301,7908.609,7933.127,7952.534,7978.917,0,0.928,0.935,0.941,0.948,0.969,0.986,0.99,0.993,0.996,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,564.344,578.875,591.37,607.919,663.035,719.752,735.221,748.049,768.236,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,3e-04,0.0241,0.058,0.1093,0.2124,0,9.591,11.71,13.633,16.117,27.281,41.134,45.992,50.235,55.036,0,-3826.49,-3839.056,-3848.847,-3860.639,-3903.289,-3943.943,-3956.202,-3965.905,-3979.097,0,0,0,0,0.017,0.047,0.071,0.078,0.083,0.09,0,0.065,0.072,0.078,0.084,0.107,0.129,0.136,0.141,0.147,0,0.027,0.037,0.044,0.051,0.076,0.099,0.106,0.111,0.117,0,0,0,0.001,0.003,0.066,0.428,0.571,0.686,0.806,0,0.026,0.028,0.031,0.034,0.046,0.061,0.067,0.072,0.079,0,0.98,0.982,0.983,0.985,0.991,0.996,0.997,0.998,0.999,0,-3812.018,-3826.855,-3835.01,-3846.744,-3888.867,-3930.084,-3941.736,-3952.407,-3964.592,0
"147","uni",45,2,2,1,500,2,2,0,6,4,"ACE",8074.128,8101.049,8122.39,8146.105,8230.393,8311.995,8334.266,8356.814,8380.007,0,8068.933,8095.854,8117.195,8140.91,8225.197,8306.8,8329.071,8351.618,8374.811,0,8083.657,8110.577,8131.918,8155.634,8239.921,8321.523,8343.794,8366.342,8389.535,0,0.865,0.873,0.881,0.89,0.918,0.943,0.95,0.955,0.961,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,630.65,647.789,662.563,678.186,735.111,794.743,811.989,826.139,839.948,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,35.74,39.873,43.548,48.292,67.028,87.702,93.529,100.071,105.635,0,-4031.467,-4044.927,-4055.597,-4067.455,-4109.599,-4150.4,-4161.536,-4172.809,-4184.406,0,0.063,0.069,0.074,0.081,0.103,0.124,0.13,0.136,0.14,0,0.121,0.127,0.132,0.139,0.16,0.181,0.186,0.192,0.197,0,0.091,0.097,0.102,0.109,0.131,0.152,0.157,0.163,0.168,0,0,0,0,0,0,0,0.001,0.004,0.01,0,0.04,0.042,0.044,0.047,0.058,0.072,0.078,0.082,0.089,0,0.961,0.964,0.966,0.968,0.977,0.984,0.986,0.987,0.989,0,-4000.315,-4011.643,-4023.602,-4034.624,-4075.67,-4114.815,-4126.31,-4135.754,-4146.592,0
